sep=\t
Module Resource Usage Distribution Estimates
Generated at: Dec 01, 2023 13:06:46

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	     563(0)	      34(0)	     114(0)	     799(0)	     0(0)	    70(0)	     0(0)	
 +la0:edb_la_top_renamed_due_excessive_length_1             	   477(257)	      34(0)	    114(47)	   781(464)	     0(0)	    70(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	       0(0)	     55(55)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       8(8)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +trigger_tu:trigger_unit(WIDTH=32'b010,PIPE=1)            	       1(1)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
  +la_biu_inst:la_biu(CAPTURE_WIDTH=32'b0100010,DATA_DEPTH=16384)	    172(68)	      34(0)	      67(0)	    241(71)	     0(0)	    70(0)	     0(0)	
   +fifo_with_read_inst:fifo_with_read(DATA_WIDTH=32'b0100011,ADDR_WIDTH=14)	    104(76)	     34(34)	     67(67)	    170(93)	     0(0)	    70(0)	     0(0)	
    +transcode_write_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=14,CELL_ADDR_WIDTH=15)	     14(14)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +transcode_read_addr:fifo_address_trancode_unit(TOTAL_ADDR_WIDTH=14,CELL_ADDR_WIDTH=15)	     14(14)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
    +simple_dual_port_ram_inst:edb_simple_dual_port_ram(DATA_WIDTH=32'b0100011,ADDR_WIDTH=14,RAM_INIT_FILE="")	       0(0)	       0(0)	       0(0)	     35(35)	     0(0)	   70(70)	     0(0)	
 +debug_hub_inst:debug_hub                                  	     86(86)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
